entity,time,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8
Konya Plain,500,-3.40686392,0.419526738,-0.113156887,0.337890915,-0.46428796,-0.778053204,-0.183543172,-0.019059252,0.236541373
Konya Plain,600,-3.190233268,0.190260313,-0.103150345,0.285947205,-0.227247182,-0.909315922,-0.43568941,-0.110746498,0.264867731
Konya Plain,700,-2.594345987,0.190082428,-0.271362238,0.772107042,-0.063056281,-0.912541478,-0.572051429,-0.021985669,-0.175134663
Konya Plain,800,-2.64306719,0.24561704,-0.264353727,0.771817065,-0.092523219,-0.885365298,-0.533974183,0.004006745,-0.17642039
Konya Plain,900,-2.911226396,0.487819682,-0.296411958,0.846554563,-0.329130397,-0.829884011,-0.406965542,0.109468672,-0.160510842
Konya Plain,1000,-2.957586483,0.551636819,-0.214019286,0.767362409,-0.165249129,-0.824381061,-0.505668421,-0.016183537,-0.165910995
Konya Plain,1100,-1.790132318,-0.410971796,0.040568087,0.233402789,0.274676862,-0.100045309,-0.050955738,0.050284045,-0.166712764
Konya Plain,1400,-2.117055182,-0.554315499,0.087577775,-0.106951789,0.522737767,0.10961136,0.095583923,-0.333736341,0.146770768
Konya Plain,1500,-2.893618444,-0.024939286,-0.064939359,-0.014773642,0.304873489,-0.139367418,0.235242939,0.099232498,0.152418581
Konya Plain,1600,-3.632631237,0.571694035,-0.107573932,0.2158632,-0.174623212,-0.686681892,-0.023695288,0.069948341,0.266613975
Konya Plain,1700,-3.607185953,0.552279241,-0.113894288,0.212236818,-0.173250041,-0.663051207,-0.004303637,0.11204996,0.26963915
Konya Plain,1800,-3.630429134,0.596995768,-0.058441775,0.148366216,-0.053705554,-0.663511579,-0.08764699,0.117377805,0.288858414
Latium,-3600,4.068841097,0.5325475,0.564621993,-0.672947589,0.16470157,-0.072851262,-0.05170139,0.07514805,-0.1775368
Latium,-1800,5.240223991,-0.961937413,-0.072241127,-0.09786779,-0.32413341,-0.617443243,-0.072584062,-0.432395453,-0.309005766
Latium,-1200,4.570165536,-0.014263645,0.349846862,-0.562049857,0.115731481,-0.32377992,-0.24015322,0.513417581,-0.053754419
Latium,-1000,4.654181905,-0.755449957,-0.358144744,0.154750049,-0.589894025,-0.274958213,0.301994871,-0.376848583,-0.254164271
Latium,-800,4.285420138,-0.155544438,0.049721498,-0.330427452,0.104770835,-0.1576504,-0.145997785,0.273084694,-0.010775411
Latium,-700,0.525588412,-1.566633082,0.504312956,-0.594059959,-1.29611124,0.174207361,-0.056023116,0.173362826,-0.164277311
Latium,-600,0.342345577,-1.480093648,0.366400667,-0.523594904,-1.295570038,0.157179141,0.190143887,0.327437354,-0.162593832
Latium,-500,-0.054035422,-1.297513787,0.534988235,0.262058455,-1.277053816,0.138684351,-0.048834601,0.146222185,-0.325253305
Latium,-400,-0.093001233,-1.262089465,0.549159889,0.261937377,-1.280379175,0.157557347,-0.025348673,0.05755122,-0.34852636
Latium,-300,-0.758594785,-0.511819763,0.844775759,0.059534368,-1.092556829,0.098569259,-0.267588624,0.084923929,-0.261863721
Latium,-200,-1.72238397,0.143759885,0.772702246,-0.021170666,-0.752233814,0.560829745,-0.379916445,0.174800438,-0.132590894
Latium,-100,-2.319166516,0.696045152,0.924744771,-0.077791473,-0.790058677,0.482506296,-0.439261826,-0.069920007,-0.192938914
Latium,0,-3.24371264,0.910486932,0.249914595,0.379102368,-0.725895563,0.013943549,-0.500763899,0.000161729,0.023767473
Latium,100,-3.282589635,0.960118737,0.275024891,0.356331142,-0.699583416,0.03051788,-0.507178676,0.00463337,0.026962331
Latium,200,-3.267071417,0.936960123,0.264852218,0.368514275,-0.710943184,0.023760597,-0.501654515,-0.026902846,0.018618538
Latium,400,-3.296870952,0.644661282,-0.121844678,0.597945898,-0.527590856,-0.585036651,-0.572290222,0.045887829,0.098306293
Latium,500,-2.396243173,-0.013310796,-0.001291509,0.365546384,-0.181439266,0.040457325,-0.38630476,-0.001619379,-0.011752304
Latium,600,-1.490285728,-0.636526564,0.081865307,0.367580305,-0.304544544,-0.24940957,-0.305045892,-0.061757631,-0.111365705
Latium,700,-1.678827127,-0.431019101,0.057762792,0.421588242,-0.548685975,-0.130580976,-0.064813238,0.122693897,-0.117722851
Latium,800,-1.648578603,-0.472227464,0.024357041,0.433633681,-0.444633252,-0.25495561,-0.064952437,0.128362445,-0.092048558
Latium,900,-1.514713397,-0.613475388,0.028797292,0.402753201,-0.302476483,-0.335562722,-0.218207817,0.081293417,-0.073005508
Latium,1000,-1.349342505,-0.39037011,-0.681828568,0.47191326,-0.177964895,-0.93354255,0.034509626,-0.029841078,-0.465486823
Latium,1100,-1.239577655,-0.533776664,-0.769482727,0.554419011,-0.294849016,-0.975879715,0.083170561,-0.016848217,-0.475387523
Latium,1200,-1.579028659,-0.749348805,-0.136586935,0.342717051,0.083246026,-0.639907483,0.201590623,0.16218055,-0.239325745
Latium,1400,-1.422663083,-0.601390144,-0.195539634,0.566077761,0.228660344,-0.542871362,0.14906261,0.184281248,-0.468691643
Latium,1500,-1.362961717,-0.687086517,-0.131864317,0.515961403,0.443878134,-0.597133961,-0.003561914,-0.245129369,-0.530933486
Latium,1600,-1.903348176,-0.644226629,-0.281765883,0.453653961,-0.204115699,0.035019989,0.163329119,0.084718579,-0.134974433
Latium,1700,-2.071093227,-0.516879244,-0.051240335,0.634403336,-0.369922584,-0.366533653,0.164773422,0.120777559,-0.182668542
Latium,1800,-2.110309684,-0.476970702,-0.048544379,0.641095456,-0.401732935,-0.344105793,0.20421076,0.108108341,-0.192829653
Lena River Valley,1400,4.97046212,-0.618016444,0.152887252,-0.376251625,-0.25873664,-0.812718118,-0.23944229,0.255056768,0.218667077
Lena River Valley,1700,2.08595524,-0.220157839,2.123572219,0.850167589,1.120598027,0.250033217,-0.385504965,0.26625996,0.49086949
Lena River Valley,1900,1.574966244,-1.693371017,1.44457986,0.312062773,0.680606257,-0.300166128,0.395228772,0.639465175,0.837156557
Lowland Andes,1600,4.537030898,-0.375651266,0.771539995,0.824841694,-0.03025111,-0.487886456,-0.393464077,0.712677392,-0.163458079
Lowland Andes,1900,3.757444072,-0.701186177,2.049212896,1.598679488,0.373498523,-0.446842647,-0.470048982,0.883191298,-0.129363604
Middle Yellow River Valley,-5000,3.654919736,0.849511142,0.089920857,-0.37746155,0.182992205,-0.210822412,-0.31450443,-0.503687608,-0.004738402
Middle Yellow River Valley,-3000,0.441554964,-0.791593553,-0.067320916,-0.730414808,-1.412411552,0.392725428,0.115503313,0.081370981,-0.250970923
Middle Yellow River Valley,-1800,-0.062527694,-0.333049452,-0.452618807,-1.052807778,-0.518378714,-0.073261952,0.123768619,-0.166113508,-0.129767744
Middle Yellow River Valley,-1600,-0.841157194,0.786592756,-0.235864702,-1.228227108,-1.018066048,0.880191813,0.495538051,0.295579461,-0.109389434
Middle Yellow River Valley,-1200,-1.303487867,0.627600072,-0.267810426,-0.664550791,-0.293543233,0.632412508,-0.035415475,0.014003984,-0.107897026
Middle Yellow River Valley,-1100,-1.662001857,0.700584262,-1.070818729,-0.640879569,-0.038545584,0.025550458,0.129687113,0.208216307,-0.097903214
Middle Yellow River Valley,-1000,-1.621235224,0.641813361,-1.026648879,-0.675507412,0.110111325,-0.011707062,0.024526553,-0.089568885,-0.141195273
Middle Yellow River Valley,-900,-1.71920226,0.736913685,-1.007425267,-0.666146856,0.061377912,0.040613072,0.105985637,-0.203893452,-0.180897545
Middle Yellow River Valley,-800,-1.7462701,0.761521408,-0.99758084,-0.666230964,0.059067931,0.053723315,0.122300281,-0.265489283,-0.197064316
Middle Yellow River Valley,-700,-1.229343069,0.094130051,-0.793531415,-0.179447987,0.061301689,0.119260157,0.29628486,0.200232865,0.094381893
Middle Yellow River Valley,-400,-1.053010702,0.066480806,-0.773879282,-0.017612649,0.1757042,-0.176016017,0.070198109,-0.287719934,0.105744245
Middle Yellow River Valley,-300,-1.424559542,0.438035418,-0.730533593,0.035302695,-0.081866558,0.031187783,0.419520228,-0.525609598,-0.010937207
Middle Yellow River Valley,-200,-2.969914354,0.464448516,0.376203198,0.404003264,-0.353233633,0.141478802,-0.321570105,-0.189067596,0.012341126
Middle Yellow River Valley,-100,-3.026063034,0.547911852,0.432100651,0.342762094,-0.264192334,0.160627272,-0.373064178,-0.140852924,0.034888758
Middle Yellow River Valley,0,-3.032647005,0.557698728,0.438655163,0.33558098,-0.253751388,0.162872614,-0.379102351,-0.135199291,0.037532684
Middle Yellow River Valley,100,-2.869183597,0.732968197,0.202750869,0.30122306,0.070610764,0.367641737,-0.028262855,-0.102703891,0.169161207
