,0,1,2
345,77.0,-2.2237346,0.2895623
346,78.0,-2.3953211,0.4742101
347,79.0,-1.7586963,-1.0087173
348,81.0,-2.175455,0.41060022
349,82.0,-2.3096118,0.56467813
350,83.0,-2.4932408,0.6141834
351,84.0,-2.770915,0.6350456
352,85.0,-2.4122725,0.53402627
353,86.0,-2.6731458,
354,87.0,-2.4216301,
355,88.0,-2.3224885,-0.0037113307
356,89.0,-2.6743088,0.5645647
357,90.0,,0.12362832
358,91.0,,0.36377677
359,93.0,-1.9184266,-0.10074686
360,94.0,-2.5596004,0.329078
361,0.0,4.4203877,-0.6146237
362,6.0,4.3231397,
363,7.0,2.8692977,0.19343258
364,8.0,,0.39471683
365,9.0,1.8977941,0.1271371
366,10.0,1.6753851,0.21780655
367,11.0,1.518307,-0.23378177
368,12.0,1.5299202,-0.228933
369,13.0,-0.010527591,
370,15.0,,0.18512408
371,16.0,,0.3152868
372,17.0,-0.0036932647,
373,18.0,-1.1981903,0.41276756
374,21.0,,0.2564181
375,23.0,0.49827015,-0.74709845
376,24.0,-1.2647907,0.12862094
377,25.0,,0.2016728
378,26.0,-1.3215853,
379,27.0,-0.85881704,-0.1055442
380,29.0,-1.7033107,0.47468716
381,30.0,-1.7704641,0.5602728
382,31.0,-1.7798582,
383,32.0,-1.9155079,0.6836512
384,33.0,,0.64728725
385,34.0,-1.1714886,0.15209249
386,35.0,-1.3716598,0.32913777
387,37.0,-1.5402286,
388,38.0,-1.4829493,0.06270121
389,40.0,,-0.4189367
390,41.0,-2.8205943,-0.14465405
391,42.0,-2.7241783,-0.21271966
392,43.0,-2.7437596,
393,53.0,-2.0798008,0.079023406
394,54.0,-2.7741845,0.25595856
395,55.0,-2.6056664,
396,56.0,-2.5294464,0.22654524
397,57.0,-2.8682575,0.29255575
398,58.0,,0.21829626
399,59.0,-2.7894678,0.2878487
400,0.0,5.0285125,0.14620665
401,3.0,,0.43846437
402,7.0,4.238968,-0.2721294
403,9.0,3.7976463,
404,10.0,3.6689513,
405,11.0,2.452606,0.88433504
406,13.0,,1.5185562
407,16.0,,1.7434758
408,19.0,2.1828918,0.6566526
409,21.0,1.9900271,0.98453873
410,23.0,2.4974802,0.54581434
411,24.0,2.481407,0.5586182
412,0.0,-0.052119996,-0.76477706
413,2.0,0.94796264,-0.8416582
